step,epoch,block,train_loss,val_loss
00000,000,00000,10.6106,10.5996
00100,000,102400,7.7437,7.7080
00200,000,204800,7.1442,7.1157
00300,000,307200,6.4507,6.4147
00400,000,409600,6.0290,6.0440
00500,000,512000,5.6889,5.6798
00600,000,614400,5.4728,5.4215
00700,000,716800,5.2716,5.2618
00800,000,819200,5.0568,5.0967
00900,000,921600,4.9467,4.9708
01000,000,1024000,4.8567,4.8403
01100,000,1126400,4.7558,4.7585
01200,000,1228800,4.6731,4.6690
01300,000,1331200,4.5795,4.6177
01400,000,1433600,4.5504,4.5346
01500,000,1536000,4.4788,4.4320
01600,000,1638400,4.4188,4.4291
01700,000,1740800,4.3529,4.3644
01800,000,1843200,4.3295,4.3436
01900,000,1945600,4.2916,4.3021
02000,000,2048000,4.2256,4.2540
02100,000,2150400,4.2115,4.2159
02200,000,2252800,4.1887,4.2145
02300,000,2355200,4.1693,4.1588
02400,000,2457600,4.1040,4.1236
02500,000,2560000,4.1214,4.0864
02600,000,2662400,4.0567,4.0778
02700,000,2764800,4.0629,4.0470
02800,000,2867200,4.0218,4.0493
02900,000,2969600,4.0081,4.0320
03000,000,3072000,4.0192,4.0024
03100,000,3174400,3.9953,4.0030
03200,000,3276800,3.9526,3.9731
03300,000,3379200,3.9787,3.9412
03400,000,3481600,3.9242,3.9494
03500,000,3584000,3.9146,3.9108
03600,000,3686400,3.9003,3.8963
03700,000,3788800,3.9046,3.9060
03800,000,3891200,3.8581,3.8707
03900,000,3993600,3.8652,3.8726
04000,000,4096000,3.8376,3.8301
04100,000,4198400,3.8358,3.8595
04200,000,4300800,3.8215,3.8254
04300,000,4403200,3.8184,3.8380
04400,000,4505600,3.8093,3.8173
04500,000,4608000,3.8002,3.7781
04600,000,4710400,3.7696,3.7992
04700,000,4812800,3.7671,3.8223
04800,000,4915200,3.7564,3.7563
04900,000,5017600,3.7438,3.7722
05000,000,5120000,3.7313,3.7613
05100,000,5222400,3.7105,3.7431
05200,000,5324800,3.7590,3.7408
05300,000,5427200,3.7014,3.7307
05400,000,5529600,3.7377,3.7278
05500,000,5632000,3.7000,3.7125
05600,000,5734400,3.6980,3.6979
05700,000,5836800,3.6787,3.6996
05800,000,5939200,3.7159,3.7018
05900,000,6041600,3.7185,3.6728
06000,000,6144000,3.6728,3.7017
06100,000,6246400,3.6886,3.6803
06200,000,6348800,3.6469,3.6694
06300,000,6451200,3.6474,3.6624
06400,000,6553600,3.6580,3.6630
06500,000,6656000,3.6624,3.6208
06600,000,6758400,3.6365,3.6629
06700,000,6860800,3.6601,3.6181
06800,000,6963200,3.6147,3.6057
